"Predator.lifestage","Type.of.feeding.interaction","R_sqaured","Intercept","Slope","pValue","F_statistics_value"
"adult","predacious/piscivorous","0.194433583643607","503.058942134918","11.949120671082","4.79389028064082e-09","38.3766492391315"
"adult","piscivorous","0.021536869262521","18859.8842209802","59.1262314720644","8.67461555109464e-86","389.54918201242"
"juvenile","piscivorous","0.00959947808315517","5510.17020640088","10.2848479190317","6.55097406740425e-08","29.3392617579319"
"juvenile","planktivorous","1","2.25196721311474","6557.37704918046","NaN","NaN"
"juvenile","predacious","0.0702164807756489","1477.06697786479","72.527690997458","4.12858422953433e-35","158.590259538987"
"adult","predacious","0.0760967901124047","14022.5769795346","86.6733851893607","1.72637702927156e-138","653.067813104215"
"larva","predacious","0.321359300269679","0.107758676365579","16253.0221597405","5.60208041879037e-104","572.975881760159"
"larva / juvenile","predacious","0.126808753413814","1.51278179933138","164.216226022138","5.25237217935004e-16","70.4338776254893"
"adult","planktivorous","0.0148266421747683","26967.7354654314","152.795681507932","0.12748816361192","2.34776566062415"
"larva","planktivorous","0.000229535758135438","0.149952307811492","-0.125540385475094","0.628040559141267","0.234868991404557"
"larva / juvenile","planktivorous","0.0281834521378093","0.41201753189867","100348.136755092","0.0668312825188673","3.42209376818833"
"larva / juvenile","piscivorous","0.232313578702393","9.86483143239672","172.511898493461","0.133275952079355","2.72353678574574"
"larva / juvenile","insectivorous","0.621254577117463","-3.45975627178894","81.1591380069623","8.51926669047012e-08","49.2088780154159"
"postlarva/juvenile","predacious","0.046276154857748","0.565541752418578","1.7461898824416","1.32011188235226e-07","28.5306686992787"
"postlarva/juvenile","planktivorous","0.0763315504427213","0.153516129748767","21012.870102476","5.19518130117455e-06","21.65156363799"
"postlarva/juvenile","piscivorous","0","1.28","0.12","NA","NULL"
"postlarva","predacious","0.0105760559264123","0.133502073567387","-0.00861452759101591","0.389989666306616","0.748237314533598"
"postlarva","piscivorous","0.605743142370175","0.0382407206914082","0.582050921513236","9.72722953165703e-08","47.6289430356757"
